,n,Levels,Depth,Number_of_non_zeros,lam_val,Para_Algo_obj,ST_Para_time,M
0,100.0,,19.0,50.0,7.5,-551.5970441730292,0.08551066229119897,58.79150849565063
0,100.0,,18.0,55.0,7.5,-638.518965361145,0.08399516390636563,60.432667937199824
0,100.0,,31.0,58.0,7.5,-616.661075589688,0.08713558781892061,60.354433846475814
0,100.0,,22.0,46.0,7.5,-434.785832071924,0.0844449819996953,55.1794718069517
0,100.0,,26.0,54.0,7.5,-591.180514126246,0.08787994692102075,61.67042377854081
0,200.0,,18.0,98.0,7.5,-955.1274038941814,0.17940087988972664,80.20303640779086
0,200.0,,34.0,97.0,7.5,-907.6295561876015,0.17605360504239798,80.92908691414598
0,200.0,,36.0,102.0,7.5,-1013.4580057334484,0.17462824285030365,81.58951876678073
0,200.0,,26.0,104.0,7.5,-975.261950733254,0.17764512170106173,80.60440545906799
0,200.0,,29.0,99.0,7.5,-957.8019026455679,0.17758094891905785,80.8609664867569
0,500.0,,50.0,236.0,7.5,-2466.6800094168534,0.47477062325924635,125.58159785238537
0,500.0,,41.0,234.0,7.5,-2303.6224917450363,0.47416636859998107,122.56570745539675
0,500.0,,46.0,247.0,7.5,-2420.050290106579,0.49098291201516986,126.97375688985038
0,500.0,,61.0,239.0,7.5,-2601.59446659172,0.48323821602389216,129.04732197491592
0,500.0,,43.0,235.0,7.5,-2349.676474544832,0.47830009600147605,127.70644197406016
0,1000.0,,67.0,515.0,7.5,-5042.1392639747555,1.0170157831162214,182.88134399477488
0,1000.0,,71.0,506.0,7.5,-5542.79315186979,0.9927511941641569,185.82566406598005
0,1000.0,,86.0,483.0,7.5,-4865.859922965033,1.0162934381514788,179.84795869519996
0,1000.0,,66.0,520.0,7.5,-5311.743366871346,1.0096863652579486,185.7119006346405
0,1000.0,,113.0,507.0,7.5,-5163.007021840975,1.0107804238796234,182.83574124021763
0,2000.0,,130.0,957.0,7.5,-9881.27748135383,2.1194333429448307,255.16999493159588
0,2000.0,,63.0,985.0,7.5,-10372.301605617324,2.1493386388756335,257.8792189257064
0,2000.0,,78.0,991.0,7.5,-10002.016489347245,2.154607492033392,260.67099320172815
0,2000.0,,106.0,1034.0,7.5,-10437.014604754815,2.2005771417170763,261.7214889186668
0,2000.0,,119.0,977.0,7.5,-10282.799728033035,2.165579796768725,258.83663791075554
0,5000.0,,221.0,2482.0,7.5,-25777.711083358987,5.916842398699373,409.21738607108006
0,5000.0,,172.0,2533.0,7.5,-26235.49118701612,5.8240594756789505,410.5102216747142
0,5000.0,,234.0,2514.0,7.5,-25766.31357080287,5.913723120931536,409.6491741283706
0,5000.0,,234.0,2526.0,7.5,-26650.34630500467,5.8148333420977,411.5619157464651
0,5000.0,,196.0,2507.0,7.5,-25742.40737066852,5.828640218824148,407.5636548086317
0,10000.0,,337.0,5011.0,7.5,-51591.42052923138,12.481833807658404,577.042297651339
0,10000.0,,189.0,4971.0,7.5,-50489.90933956624,12.715801086742431,576.3858918744007
0,10000.0,,296.0,4998.0,7.5,-51684.882947703016,12.685183004941791,577.4158738688985
0,10000.0,,317.0,4886.0,7.5,-49959.61691442216,12.82767707714811,573.8272224297051
0,10000.0,,213.0,4964.0,7.5,-51271.225854724806,12.633768821135163,576.2474322168889
0,20000.0,,381.0,10063.0,7.5,-103852.08262304247,28.790208213962615,815.715975539899
0,20000.0,,311.0,9980.0,7.5,-102877.22441718446,30.243096058722585,818.9461248317664
0,20000.0,,236.0,9894.0,7.5,-101759.18957018727,28.664930294267833,811.8756463350386
0,20000.0,,639.0,9967.0,7.5,-104217.04235810919,28.670370366889983,816.418360326723
0,20000.0,,356.0,10032.0,7.5,-104288.05024595307,28.464482040144503,818.5786027038401
0,50000.0,,519.0,24765.0,7.5,-256525.1382394063,91.00743887806311,1289.023665358479
0,50000.0,,340.0,24794.0,7.5,-256284.12461166774,91.24161270679906,1289.5357877217818
0,50000.0,,441.0,25065.0,7.5,-258920.0124491894,100.11647875793278,1288.915811163481
0,50000.0,,482.0,25128.0,7.5,-260454.71928654963,99.24666590895504,1294.0585917693045
0,50000.0,,783.0,24937.0,7.5,-256886.11073531627,90.75874221418053,1288.3492462856004
