,n,Levels,Depth,Number_of_non_zeros,lam_val,Gurobi_obj,Para_Algo_obj,Gurobi_opt_gap,Objective_Diff,Error%,Gurobi_time,ST_Para_time,BnB_Nodes,M
0,1000.0,,83.0,915.0,0.25,-10152.858145050459,-10152.923219824104,5.187248034796799e-05,-0.06507477364539227,-0.0006,14.994219828397036,1.1573224123567343,3864.0,185.13629805141565
0,1000.0,,136.0,913.0,0.25,-9629.778454498786,-9630.131985864928,9.325341375825742e-05,-0.3535313661413966,-0.0037,26.922221980057657,1.1132900174707174,6233.0,180.53776229740012
0,1000.0,,85.0,915.0,0.25,-9925.605518320923,-9926.114826284513,9.25751561375358e-05,-0.5093079635898903,-0.0051,16.34541856124997,1.1410839278250933,3393.0,182.55153146232973
0,1000.0,,72.0,907.0,0.25,-9942.06793911138,-9942.107757796675,6.822787233238947e-05,-0.0398186852944491,-0.0004,27.68593335431069,1.1280204188078642,8670.0,182.97955156357284
0,1000.0,,74.0,900.0,0.25,-10054.515473178359,-10054.711130738599,8.797458386287382e-05,-0.1956575602398516,-0.0019,19.27690605726093,1.139970701187849,6572.0,185.01992072108033
0,1000.0,,95.0,743.0,2.5,-9410.51022950749,-9410.52937356592,0.001259028795477073,-0.019144058429446886,-0.0002,3601.9523356817663,1.0574175203219056,6048300.0,188.72479499814122
0,1000.0,,84.0,721.0,2.5,-7947.828104004865,-7947.828796325305,0.0016890630858749434,-0.0006923204400663963,-0.0,3600.086360944435,1.084559090435505,5587235.0,182.49544755995342
0,1000.0,,71.0,715.0,2.5,-8247.477008953609,-8247.536143724628,0.0020673888894388796,-0.05913477101967146,-0.0007,3600.1476359553635,1.0805812431499362,5481284.0,186.70931153149775
0,1000.0,,88.0,701.0,2.5,-7917.652315322217,-7917.6738370393205,0.0018642198570747376,-0.021521717103496485,-0.0003,3600.111245240085,1.0636054687201977,5641884.0,182.28896279545265
0,1000.0,,54.0,728.0,2.5,-8355.825936292602,-8355.874325588093,0.0014934815325092206,-0.04838929549077875,-0.0006,3604.245035483502,1.0562680875882506,5581042.0,182.05119771023368
0,1000.0,,67.0,467.0,7.5,-5048.548488455126,-5048.671977794461,0.016344333336308286,-0.12348933933481021,-0.0024,3600.1343350484967,1.0004637241363525,6629152.0,178.76538423800272
0,1000.0,,93.0,504.0,7.5,-5324.861197115624,-5325.4008423584255,0.014412658143646014,-0.5396452428012708,-0.0101,3600.1515106018633,1.0132447527721524,6395721.0,185.43800810824646
0,1000.0,,40.0,522.0,7.5,-5552.213267234258,-5552.21353348275,0.015003091651365118,-0.000266248492152954,-0.0,3600.0911209294572,1.0168211245909333,6140366.0,188.01990169234287
0,1000.0,,63.0,509.0,7.5,-5319.00075209478,-5319.021787974621,0.01582491311686242,-0.02103587984038313,-0.0004,3600.156825195998,1.0187017107382417,5634453.0,182.32732396818452
0,1000.0,,70.0,519.0,7.5,-5724.183893655616,-5724.940810510286,0.012557356011578542,-0.7569168546697256,-0.0132,3600.0904824566096,1.016540172509849,6134937.0,187.96998624081868
0,1000.0,,57.0,389.0,12.5,-3389.8180354135425,-3390.4235383286623,0.056890034035188046,-0.6055029151198141,-0.0179,3600.140635719523,0.9703820599243045,6491007.0,185.03188384343716
0,1000.0,,60.0,365.0,12.5,-2898.634079896343,-2899.7285331729836,0.06433440165318913,-1.0944532766407065,-0.0378,3600.2492473516613,0.9599184626713395,5762970.0,179.9814499874483
0,1000.0,,73.0,339.0,12.5,-2603.5559335157695,-2604.62451619196,0.07982771237155388,-1.0685826761905446,-0.041,3600.136506255716,0.9746771110221744,5818151.0,178.4802990343267
0,1000.0,,70.0,368.0,12.5,-3128.286639094166,-3130.145186611294,0.06537947285766547,-1.858547517128045,-0.0594,3600.0738226054236,0.9528720993548632,6053247.0,184.77786449660945
0,1000.0,,92.0,351.0,12.5,-2796.6493096328495,-2798.8654857086494,0.07072263619993292,-2.216176075799922,-0.0792,3600.09714368172,0.9721112949773669,6117699.0,183.2116034589944
0,1000.0,,73.0,82.0,25.0,-335.6577998418308,-335.6578040996952,0.6866594371835899,-4.2578644183777214e-06,-0.0,3600.116420669481,0.9441562229767442,8547090.0,178.5190189579885
0,1000.0,,102.0,82.0,25.0,-371.1189941554164,-371.11899593739923,0.6881385184794969,-1.78198285993858e-06,-0.0,3600.199233205989,0.9412212334573269,8147488.0,184.71479746529818
0,1000.0,,51.0,91.0,25.0,-436.677745007431,-436.6777507432887,0.5650136775313852,-5.735857712352299e-06,-0.0,3600.0947981067,0.9342976454645395,8507948.0,182.89105878067073
