,n,Levels,Depth,Number_of_non_zeros,lam_val,Gurobi_obj,Para_Algo_obj,Gurobi_opt_gap,Objective_Diff,Error%,Gurobi_time,ST_Para_time,BnB_Nodes,M
0,200.0,,32.0,100.0,7.5,-1135.3660715156627,-1135.3660762383845,3.629511775549909e-07,-4.722721769212512e-06,-0.0,14.11568988719955,0.17554490780457854,42185.0,83.10131387709374
0,200.0,,26.0,98.0,7.5,-1008.6933970396012,-1008.6935201981807,2.8953428893479263e-05,-0.0001231585795267165,-0.0,147.98885263083503,0.18049243511632085,1422555.0,86.00143829607778
0,200.0,,20.0,104.0,7.5,-1155.1249741396782,-1155.1251635380197,4.4791574770854564e-07,-0.00018939834149023227,-0.0,69.41259277472273,0.17721287813037634,629321.0,83.45175601921386
0,200.0,,27.0,97.0,7.5,-1096.435441478081,-1096.4354446642735,2.97440357764181e-07,-3.186192543580546e-06,-0.0,5.921367981936783,0.17417999170720577,15651.0,82.79451519532834
0,200.0,,47.0,110.0,7.5,-1241.6182365945888,-1241.618446873139,3.2728274597641665e-05,-0.0002102785501847393,-0.0,382.19319090014324,0.17685934202745557,3639891.0,83.55732825021131
0,500.0,,41.0,247.0,7.5,-2724.139238843926,-2724.139276134541,0.009609584858831554,-3.7290615182428155e-05,-0.0,3600.112313519232,0.4778146822936833,13805221.0,129.12497187414593
0,500.0,,45.0,233.0,7.5,-2489.115640110385,-2489.1159762337606,0.013426611044624587,-0.00033612337574595585,-0.0,3600.1571818962693,0.48540500085800886,13635584.0,129.33088388894924
0,500.0,,54.0,240.0,7.5,-2509.627305788774,-2509.6273349413045,0.01399996997201635,-2.9152530714782188e-05,-0.0,3600.1005135360174,0.47842790745198727,12192765.0,126.90397036703332
0,500.0,,66.0,252.0,7.5,-2593.513800853044,-2593.7650092548265,0.012382211293681708,-0.2512084017826055,-0.0097,3603.7049993481487,0.49124201899394393,10452845.0,129.5037487750258
0,500.0,,72.0,256.0,7.5,-2348.2453932884905,-2348.2457559266704,0.013000194691725536,-0.0003626381799222145,-0.0,3600.2860284699127,0.47932041995227337,10603666.0,127.07982251861337
0,1000.0,,67.0,467.0,7.5,-5048.548488455126,-5048.671977794461,0.016344333336308286,-0.12348933933481021,-0.0024,3600.1343350484967,1.0004637241363525,6629152.0,178.76538423800272
