,n,Levels,Depth,Number_of_non_zeros,lam_val,Reported_Gurobi_obj_P,True_Gurobi_obj_P,Para_Algo_obj,Gurobi_opt_gap_P,Objective_Diff_P,Error%_P,Gurobi_time_P,ST_Para_time,BnB_Nodes_P,M,Gurobi_opt_gap_M,Objective_Diff_M,Error%_M,Gurobi_time_M,BnB_Nodes_M,Gurobi_obj_M,,,n,Number_of_non_zeros,lam_val,Reported_Gurobi_obj_P,True_Gurobi_obj_P,Para_Algo_obj,Gurobi_opt_gap_P,Objective_Diff_P,Error%_P,Gurobi_time_P,ST_Para_time,BnB_Nodes_P,M,Gurobi_opt_gap_M,Objective_Diff_M,Error%_M,Gurobi_time_M,BnB_Nodes_M,Gurobi_obj_M
0,200,,26,105,5.5,-1141.300702,-1141.300704,-1141.300706,0,-2.22E-06,0,57.58419954,0.182972465,16455,78.38656075,3.32E-07,-27.50010727,-2.469,9.464364804,16370,-1113.800599,,,200,106.4,5.5,-1212.549526,-1212.549514,-1212.549521,0.03%,-7.04703E-06,0,1034.544454,0.183106865,343871.4,80.1522275,0.00%,-35.20008867,-2.98636,7.926388161,34428.4,-1177.349
0,200,,37,105,5.5,-1144.619842,-1144.619835,-1144.619838,0,-3.13E-06,0,110.566998,0.183196035,23579,79.52559217,9.57E-06,-1.04E-05,0,2.125212717,2887,-1144.619828,,,500,283.4,5.5,-3084.512728,-3074.612731,-3084.510981,0.87%,-9.898250672,-0.32238,3600.118452,0.485528449,918105.8,128.4044004,0.55%,-2.200286021,-0.07076,3600.091772,12838454.8,-3082.311
0,200,,29,110,5.5,-1258.218073,-1258.218037,-1258.218055,0,-1.79E-05,0,673.633772,0.195722543,208116,82.07506366,3.20E-07,-49.50011465,-4.0953,11.45639544,44114,-1208.71794,,,1000,565.6,5.5,-6065.77223,-6064.672382,-6065.841872,1.00%,-1.169489622,-0.02072,3600.124577,1.040367967,350049.4,181.3986735,0.83%,-1.511798564,-0.0247,3600.155287,5476735.8,-6064.330
0,200,,40,106,5.5,-1292.755949,-1292.755947,-1292.755948,0,-1.45E-06,0,716.3694484,0.176145396,202731,79.71389953,3.03E-07,-27.50009954,-2.1735,5.010708412,23019,-1265.255849,,,2000,1131.4,5.5,-12471.64,-12471.64,-12472.99,1.11%,-1.347111668,-0.01078,3600.161895,2.191472306,144555.4,257.9636955,1.03%,-41.59494113,-0.33944,3636.207795,2635031.2,-12431.390
0,200,,27,106,5.5,-1225.853067,-1225.853045,-1225.853055,0.001642574,-1.05E-05,0,3614.567853,0.177497884,1268476,81.06002137,3.10E-07,-71.50011149,-6.194,11.57525943,85752,-1154.352944,,,5000,2847.2,5.5,-31092.04896,-31092.05374,-31097.63027,1.14%,-5.576536674,-0.018,3656.415598,6.008566962,27311.8,408.5432,1.12%,-148.4205199,-0.49484,3600.560423,674526.6,-30949.210
0,500,,42,289,5.5,-3207.929654,-3207.929655,-3207.929659,0.007448923,-4.53E-06,0,3600.146865,0.468102632,853707,130.2189334,0.005141622,-4.46E-05,0,3600.144683,11025112,-3207.929615,,,,,,,,,,,,,,,,,,,,,
0,500,,60,300,5.5,-3119.847193,-3070.347261,-3119.837196,0.012501009,-49.48993501,-1.6119,3600.17065,0.484513078,874741,131.7385446,0.008993036,-11.00003409,-0.3538,3600.077933,10832956,-3108.837162,,,,,,,,,,,,,,,,,,,,,
0,500,,60,290,5.5,-3238.308688,-3238.308669,-3238.308685,0.005445469,-1.64E-05,0,3600.100999,0.501140223,968477,129.6554373,0.00229388,-3.19E-05,0,3600.061301,15040497,-3238.308654,,,,,,,,,,,,,,,,,,,,,
0,500,,49,274,5.5,-2967.661788,-2967.661734,-2967.661774,0.00776608,-4.01E-05,0,3600.099253,0.476522714,972498,125.7471093,0.004767926,-4.19E-05,0,3600.067319,15913427,-2967.661733,,,,,,,,,,,,,,,,,,,,,
0,500,,48,264,5.5,-2888.816316,-2888.816335,-2888.817592,0.010126478,-0.001257337,0,3600.074491,0.497363596,921106,124.6619772,0.006502061,-0.00127773,0,3600.107623,11380282,-2888.816314,,,,,,,,,,,,,,,,,,,,,
