,n,Levels,Depth,Number_of_non_zeros,lam_val,Gurobi_obj_P,Para_Algo_obj,Gurobi_opt_gap_P,Gurobi_time_P,ST_Para_time,BnB_Nodes_P,M,Gurobi_obj_M,Calculated_Gurobi_obj_M,Gurobi_opt_gap_M,Objective_Diff_M,Error%_M,Gurobi_time_M,BnB_Nodes_M,,,,n,Gurobi_obj_P,Gurobi_obj_M,Para_Algo_obj,Gurobi_time_P,Gurobi_time_M,ST_Para_time,Gurobi_opt_gap_P,Gurobi_opt_gap_M,BnB_Nodes_P,BnB_Nodes_M,Bounds(M)
0,200,,21,99,7.5,-1010.053348,-1010.05334,0,292.0879428,0.171285847,86226,79.41265478,-1010.053218,-890.0532178,4.04E-07,-0.000122302,-1.21085E-05,5.858301141,29509,,,,200,-970.7523044,-970.7522155,-970.7523026,2326.738456,68.50767374,0.175241282,0.004091711,3.55899E-07,862033.4,643413.4,79.88162363
0,200,,34,104,7.5,-929.2412072,-929.2412195,0,541.4753123,0.169398103,170689,77.34063538,-929.2412095,-929.2412095,0,-9.91666E-06,-1.06718E-06,18.58057638,112323,,,,500,-2568.819726,-2568.778739,-2568.819733,3600.138651,3600.109945,0.470895049,0.015110912,0.010217146,842216.8,12883889.8,128.4456848
0,200,,50,113,7.5,-1309.356891,-1309.356889,0.00324612,3600.0735,0.179150541,1535414,85.99814384,-1309.356696,-1256.856696,4.75E-07,-0.000193685,-1.47924E-05,67.07372786,546691,,,,1000,-5162.321218,-5162.202151,-5162.321243,3600.104178,3600.095132,0.999903896,0.018486359,0.01555004,408407.8,6329913,182.7709063
0,200,,22,92,7.5,-748.7816443,-748.7816576,0.010482174,3600.021614,0.172901553,1343120,77.49349083,-748.7816494,-748.7816494,4.34E-07,-8.16928E-06,-1.09101E-06,151.1008821,1674483,,,,2000,-10435.98729,-10435.7232,-10437.16103,3600.209718,3600.114038,2.146585143,0.020488098,0.019165524,141095,2865993.4,259.630654
0,200,,31,89,7.5,-856.3284317,-856.3284064,0.006730262,3600.033912,0.183470366,1174718,79.16319332,-856.3283051,-781.3283051,4.67E-07,-0.000101284,-1.18277E-05,99.92488126,854061,,,,5000,-25603.51731,-25606.82667,-25614.37303,3600.290881,3600.535219,5.998805012,0.022340024,0.021929262,28753,697020.2,408.4442578
0,500,,32,266,7.5,-2717.428186,-2717.428179,0.014766111,3600.149184,0.467982656,901148,130.5304465,-2717.342002,-2709.842002,0.009728295,-0.086176633,-0.003171358,3600.158775,12103229,,,,,,,,,,,,,,,
0,500,,42,242,7.5,-2235.491165,-2235.491181,0.019117149,3600.114928,0.453251708,902440,123.597532,-2235.490855,-1822.990855,0.013628491,-0.000326051,-1.45852E-05,3600.061956,14667299,,,,,,,,,,,,,,,
0,500,,33,259,7.5,-2596.61258,-2596.612596,0.015569759,3600.133021,0.491067011,691630,128.6128513,-2596.494186,-2596.494186,0.009575253,-0.118409906,-0.004560376,3600.11603,10592993,,,,,,,,,,,,,,,
0,500,,36,255,7.5,-2562.129962,-2562.129963,0.012985728,3600.269219,0.470140425,797769,128.1139198,-2562.129943,-2562.129943,0.007706172,-2.04121E-05,-7.96684E-07,3600.108496,12612655,,,,,,,,,,,,,,,
0,500,,47,246,7.5,-2732.436737,-2732.436744,0.013115814,3600.026903,0.472033446,918097,131.3736744,-2732.436708,-2724.936708,0.010447518,-3.65299E-05,-1.3369E-06,3600.104469,14443273,,,,,,,,,,,,,,,
0,1000,,82,502,7.5,-5154.439035,-5154.439047,0.019475377,3600.088322,0.994224383,402302,182.3692149,-5154.387501,-5154.387501,0.016279267,-0.051545942,-0.00100004,3600.090237,6108667,,,,,,,,,,,,,,,
0,1000,,58,514,7.5,-5074.382797,-5074.382829,0.020115523,3600.256416,1.004424306,403007,182.7216081,-5074.382759,-5074.382759,0.01732684,-7.07502E-05,-1.39426E-06,3600.074326,6342222,,,,,,,,,,,,,,,
